epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.105,1.49566,2.22623,1.75231,0.5603,0.41277,0.40793,0.26494,1.55146,6.76666,1.72676,0.000199735,0.000199735,0.0802262
2,516.785,1.45042,1.9171,1.69893,0.47788,0.41626,0.42519,0.26717,1.56889,8.20995,1.71623,0.000397097,0.000397097,0.0604236
3,767.264,1.44591,1.90719,1.69701,0.65771,0.46638,0.53187,0.33573,1.46697,8.69585,1.55774,0.000591819,0.000591819,0.0406183
4,1016.2,1.39745,1.79554,1.64105,0.5709,0.5169,0.53709,0.3449,1.42516,8.76678,1.53915,0.0007839,0.0007839,0.0208104
5,1263.52,1.34627,1.72427,1.60439,0.71792,0.44445,0.53496,0.34048,1.48236,16.3808,1.61702,0.000973342,0.000973342,0.000999832
6,1510.39,1.30766,1.65514,1.57249,0.6891,0.56757,0.5934,0.39587,1.31071,4.26458,1.43559,0.000967,0.000967,0.000967
7,1758.23,1.26971,1.56622,1.54423,0.67502,0.5668,0.59902,0.40336,1.30411,2.63781,1.44676,0.0009604,0.0009604,0.0009604
8,2005.41,1.24442,1.53399,1.53387,0.68341,0.63119,0.64785,0.43153,1.24132,5.23884,1.36357,0.0009538,0.0009538,0.0009538
9,2252.36,1.20025,1.45681,1.50186,0.71492,0.61909,0.63327,0.4255,1.27676,5.1436,1.36737,0.0009472,0.0009472,0.0009472
10,2499.12,1.19448,1.43431,1.48368,0.70564,0.58845,0.63216,0.43054,1.25408,5.47112,1.36989,0.0009406,0.0009406,0.0009406
11,2747.45,1.17075,1.39315,1.47487,0.69591,0.61044,0.61318,0.42977,1.21142,4.7708,1.35088,0.000934,0.000934,0.000934
12,3013.47,1.18566,1.38422,1.47227,0.69062,0.61294,0.632,0.45101,1.16854,3.82307,1.28284,0.0009274,0.0009274,0.0009274
13,3277.03,1.15006,1.33083,1.44306,0.74523,0.62497,0.66202,0.46565,1.18378,4.24976,1.30578,0.0009208,0.0009208,0.0009208
14,3546.62,1.13079,1.30425,1.43077,0.73473,0.62825,0.66425,0.46373,1.17429,4.21289,1.26465,0.0009142,0.0009142,0.0009142
