epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,195.501,1.70531,6.16287,1.67647,0.59673,0.04016,0.03159,0.0132,1.38201,10.6077,1.26142,0.00998871,0.00332957,0.00998871,0.00332957,0.00998871,0.00332957,0.00998871,0.00332957
2,369.864,1.93964,4.45632,1.8496,0.5663,0.01921,0.01518,0.0059,1.64925,3.25512,1.59782,0.0197908,0.00659694,0.0197908,0.00659694,0.0197908,0.00659694,0.0197908,0.00659694
3,532.391,2.17734,3.91652,2.0848,0.05571,0.06519,0.02705,0.01047,1.69305,3.55924,1.59688,0.0293949,0.00979831,0.0293949,0.00979831,0.0293949,0.00979831,0.0293949,0.00979831
4,692.704,2.31313,3.88304,2.27105,0.60906,0.0454,0.04418,0.01652,1.52518,3.80278,1.50644,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,853.662,2.19186,3.78245,2.18386,0.65513,0.07683,0.06956,0.02718,1.43976,4.99705,1.44277,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1014.66,2.09477,3.5991,2.1441,0.63417,0.10012,0.08154,0.03466,1.40733,5.0946,1.38602,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1174.91,2.04919,3.40692,2.06992,0.61225,0.10477,0.07099,0.02892,1.33086,4.65827,1.35833,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1337.9,2.02682,3.28733,2.0506,0.61777,0.09057,0.11566,0.04603,1.31712,2.59042,1.28134,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1498.82,1.96456,3.23193,2.01956,0.25317,0.18118,0.1529,0.07188,1.23516,5.31687,1.26893,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1659.24,1.94738,3.12148,2.00665,0.21715,0.1852,0.12949,0.05862,1.23168,7.0835,1.24637,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
